"date","price","open","high","low","vol"
2018-11-27,2574.68,2585.83,2592.54,2566.17,1.237e+10
2018-11-28,2601.74,2575.45,2601.96,2561.56,1.46e+10
2018-11-29,2567.44,2613.78,2617.55,2567.44,1.572e+10
2018-11-30,2588.19,2564.56,2590.21,2555.32,1.393e+10
2018-12-03,2654.8,2647.13,2665.3,2629.18,2.075e+10
2018-12-04,2665.96,2651.56,2666.08,2644.9,1.679e+10
2018-12-05,2649.81,2629.83,2660.39,2625.91,1.545e+10
2018-12-06,2605.18,2629.82,2633.68,2603.13,1.417e+10
2018-12-07,2605.89,2609.34,2614.58,2599.28,1.091e+10
2018-12-10,2584.58,2589.19,2599.76,2576.24,1.132e+10
2018-12-11,2594.09,2587.01,2596.15,2583.2,1.013e+10
2018-12-12,2602.15,2608.11,2610.01,2595.07,1.035e+10
2018-12-13,2634.05,2607.14,2645.84,2599.46,1.507e+10
2018-12-14,2593.74,2627.28,2629.16,2593.74,1.459e+10
2018-12-17,2597.97,2587.26,2598.97,2573.87,1.174e+10
2018-12-18,2576.65,2583.63,2599.15,2563.57,1.17e+10
2018-12-19,2549.56,2578.68,2579.87,2547.08,1.077e+10
2018-12-20,2536.27,2544.51,2554.86,2516.02,1.206e+10
2018-12-21,2516.25,2526.55,2527.42,2498.69,1.157e+10
2018-12-24,2527.01,2506.74,2529.44,2500.44,9.73e+09
2018-12-25,2504.82,2503.95,2513.96,2462.84,1.407e+10
2018-12-26,2498.29,2501.12,2513.83,2492.08,1.088e+10
2018-12-27,2483.09,2527.72,2532,2483.09,1.354e+10
2018-12-28,2493.9,2483.62,2505.11,2478.32,1.192e+10
2019-01-02,2465.29,2497.88,2500.28,2456.42,1.099e+10
2019-01-03,2464.36,2461.78,2488.48,2455.93,1.244e+10
2019-01-04,2514.87,2446.02,2515.32,2440.91,1.689e+10
2019-01-07,2533.09,2528.7,2536.98,2515.51,1.773e+10
2019-01-08,2526.46,2530.3,2531.34,2520.16,1.581e+10
2019-01-09,2544.34,2536.42,2574.41,2536.16,1.919e+10
2019-01-10,2535.1,2543.85,2551.83,2531.66,1.599e+10
2019-01-11,2553.83,2539.55,2554.79,2533.36,1.494e+10
2019-01-14,2535.77,2553.33,2556.29,2533.01,1.448e+10
2019-01-15,2570.34,2537.37,2571.5,2532.43,1.603e+10
2019-01-16,2570.42,2569.07,2574.24,2563.01,1.493e+10
2019-01-17,2559.64,2573.58,2582.56,2557.71,1.625e+10
2019-01-18,2596.01,2567.74,2598.88,2565.9,1.908e+10
2019-01-21,2610.51,2599.06,2618.98,2599.06,1.634e+10
2019-01-22,2579.7,2609.64,2609.64,2573.06,1.525e+10
2019-01-23,2581,2575.26,2589.51,2572.41,1.314e+10
2019-01-24,2591.69,2584.65,2597.29,2569.7,1.54e+10
2019-01-25,2601.72,2596.26,2617,2595.63,1.594e+10
2019-01-28,2596.98,2615.71,2630.32,2591.1,1.47e+10
2019-01-29,2594.25,2592.35,2601.74,2559.98,1.556e+10
2019-01-30,2575.58,2584.75,2598.82,2575.41,1.205e+10
2019-01-31,2584.57,2581.33,2606.63,2571.58,1.543e+10
2019-02-01,2618.23,2597.78,2618.48,2590.55,1.32e+10
2019-02-11,2653.9,2613.17,2654.1,2613.17,1.549e+10
2019-02-12,2671.89,2654.03,2674.48,2648.83,1.841e+10
2019-02-13,2721.07,2674.52,2727.07,2666.52,2.438e+10
2019-02-14,2719.7,2715.54,2729.45,2707.49,1.97e+10
2019-02-15,2682.39,2712.79,2715.63,2679.78,1.96e+10
2019-02-18,2754.36,2699.82,2754.36,2699.82,2.604e+10
2019-02-19,2755.65,2759.5,2780.78,2737.59,2.88e+10
2019-02-20,2761.22,2761.06,2767.41,2739.98,2.46e+10
2019-02-21,2751.8,2759.94,2794.01,2744.98,2.987e+10
